Product,RM Code,RM Desc, Qty ,Avg Speed ,Width,Production Line
B-MCR-018.0-XX-J,RM3500072,MATT COMPOUND BOPP GRADE MF502H,75,,,FCB: Line-3 (BOPP)
B-MCR-018.0-XX-J,RM3500029,POLYPROPYLENE - MATIF 97 400700DK,71,,,FCB: Line-3 (BOPP)
B-MCR-018.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,792,,,FCB: Line-3 (BOPP)
B-MCR-018.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,50,,,FCB: Line-3 (BOPP)
B-MCR-018.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),1,,,FCB: Line-3 (BOPP)
B-MCR-018.0-XX-J,RM3500077,POLYPROPELENE - SKISLAB 2(BOPP),4,,,FCB: Line-3 (BOPP)
B-MCR-018.0-XX-J,RM3500307, ASC-106,7,,,FCB: Line-3 (BOPP)
B-MCR-018.0-XX-B,,,"1,000",400,6.75,
B-MCR-025.0-XX-J,RM3500072,MATT COMPOUND BOPP GRADE MF502H,50,,,FCB: Line-3 (BOPP)
B-MCR-025.0-XX-J,RM3500029,POLYPROPYLENE - MATIF 97 400700DK,51,,,FCB: Line-3 (BOPP)
B-MCR-025.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,847,,,FCB: Line-3 (BOPP)
B-MCR-025.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,40,,,FCB: Line-3 (BOPP)
B-MCR-025.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),1,,,FCB: Line-3 (BOPP)
B-MCR-025.0-XX-J,RM3500077,POLYPROPELENE - SKISLAB 2(BOPP),3,,,FCB: Line-3 (BOPP)
B-MCR-025.0-XX-J,RM3500307, ASC-106,8,,,FCB: Line-3 (BOPP)
B-MCR-025.0-XX-B,,,"1,000",280,6.75,
B-MFF-020.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,819,,,FCB: Line-3 (BOPP)
B-MFF-020.0-XX-J,RM3300165,Tafmer-XM7070,26,,,FCB: Line-3 (BOPP)
B-MFF-020.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),1,,,FCB: Line-3 (BOPP)
B-MFF-020.0-XX-J,RM3300269,RC112L,50,,,FCB: Line-3 (BOPP)
